"Overview Details","Course","Fees","Eligibility","Application Date","Action","About Section Text","Chandigarh University Highlights","Unnamed: 1","Eligibility Criteria","Selection Criteria","Total Tuition Fees","Entrance Exam","Chandigarh University Cutoff 2024","Particulars","Placement Statistics 2023-24","Ranking Body","Category","Rank","Marks Obtained","CUCET Phase I","CUCET Phase II","Rooms","Non-AC (Per Annum)","AC (Per Annum)","Unnamed: 3","Unnamed: 4","Name","Achievements","Photo","Nearest Mode of Transportation","Distance","Chandigarh University Departments","Unnamed: 2","Chandigarh University Collaborations","Ratings (Out of 5)","Stream","No. of Students Placed","All India Rank (AIR)","Amount of Scholarship provided","Percentage of Marks","Class XII Marks"
"Chandigarh University: Admission 2024, Courses, Fees, Placements, RankingChandigarh,  ChandigarhPrivate UniversityEstd 2012NAAC Grade A+ 3.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","BE13  Courses","₹1.9 Lakhs - 2.92 Lakhs (1st Year Fees) Check Details","10+2 with 50% + CUCET","19 July 2024","Apply Now","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","MBA18  Courses","₹2.55 Lakhs - 3.85 Lakhs (1st Year Fees) Check Details","Graduation with 50% + CUCET","19 July 2024","Apply Now","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","BBA9  Courses","₹1.73 Lakhs - 1.83 Lakhs (1st Year Fees) Check Details","10+2 with 50% + CUCET","19 July 2024","Apply Now","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","B.Com {Hons.}5  Courses","₹1.65 Lakhs (1st Year Fees) Check Details","10+2 with 50% + CUCET","19 July 2024","Apply Now","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","B.Sc14  Courses","₹88,500 - 2.21 Lakhs (1st Year Fees) Check Details","10+2 with 50%","19 July 2024","Apply Now","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","BA4  Courses","₹76,500 - 1.63 Lakhs (1st Year Fees) Check Details","10+2 with 55% + CUCET","19 July 2024","Apply Now","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Ph.D28  Courses","₹1.57 Lakhs (1st Year Fees) Check Details","Post Graduation","1 Dec 2023","Apply Now","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","M.Sc15  Courses","₹88,500 - 1.65 Lakhs (1st Year Fees) Check Details","Graduation + CUCET","19 July 2024","Apply Now","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","M.Pharm4  Courses","₹1.85 Lakhs - 2.07 Lakhs (1st Year Fees) Check Details","B.Pharm + CUCET","19 July 2024","Apply Now","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Master of Laws [L.L.M.]","₹1.65 Lakhs (Total Fees) Check Details","L.L.B. with 50% + CUCET","19 July 2024","Apply Now","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
